Task arrival date_act1,Task arrival date_act2,Task arrival date_act3,Actvity ID_act1,Actvity ID_act2,Actvity ID_act3,Task Executer_act1,Task Executer_act2,Task Executer_act3,Task executer department_act1,Task executer department_act2,Task executer department_act3,Task Type_act1,Task Type_act2,Task Type_act3,Action_act1,Action_act2,Action_act3,idBPMApplicationAction_act1,idBPMApplicationAction_act2,idBPMApplicationAction_act3,Period between arrival and execution_act1,Period between arrival and execution_act2,Period between arrival and execution_act3,Period between arrival and capture_act1,Period between arrival and capture_act2,Period between arrival and capture_act3,Cumulative Length of Process_act1,Cumulative Length of Process_act2,Cumulative Length of Process_act3,Overdue Days_act1,Overdue Days_act2,Overdue Days_act3,Role ID_act1,Role ID_act2,Role ID_act3,Years in Org Position_act1,Years in Org Position_act2,Years in Org Position_act3,Age_act1,Age_act2,Age_act3,idBPMRequirement_act1,idBPMRequirement_act2,idBPMRequirement_act3,Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act4,Task arrival date_last_act4
2022-05-10 18:31:18.573,2022-05-10 18:31:19.527,2022-05-16 01:39:57.827,100,102,101,8601,4322,8601,8601,4322,8601,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,127,6,0,127,5,1,2,3,0,4,0,5,21,5,3,0,3,58,57,58,Non applicable,183,Non applicable,3,1,2,1,1,6,1,1,1,1,0,1,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,102,2022-05-16 07:41:37.833
2022-05-10 21:43:20.560,2022-05-10 21:43:24.670,2022-05-17 10:47:10.923,100,102,101,11114,4960,11114,11114,4960,11114,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,157,1,0,156,1,1,2,3,0,5,0,2,21,2,2,0,2,44,46,44,Non applicable,183,Non applicable,2,1,2,1,1,7,1,1,1,1,1,1,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,102,2022-05-17 11:56:56.117
2022-05-11 09:43:55.297,2022-05-11 09:43:57.797,2022-05-12 10:19:33.117,100,102,103,1114,4322,73,1114,4322,73,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,24,0,0,24,0,1,2,3,0,0,0,5,21,8,2,0,2,42,57,53,Non applicable,Non applicable,Non applicable,2,2,2,1,0,6,1,1,1,1,0,1,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,102,2022-05-12 10:58:04.960
2022-05-11 14:49:53.673,2022-05-11 14:49:54.127,2022-05-11 15:19:48.007,100,105,106,9991,9083,4731,9991,9083,4731,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,273,0,0,236,0,0,236,1,2,3,0,0,9,12,59,21,7,5,1,51,52,52,Non applicable,Non applicable,Non applicable,1,2,2,1,0,8,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,2,1,0,0,1,105,2022-05-21 12:18:24.233
2022-05-11 18:16:26.150,2022-05-11 18:16:26.930,2022-05-21 16:15:03.583,100,102,101,20,4731,20,20,4731,20,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,237,42,0,237,42,1,2,3,0,9,0,4,21,4,2,1,2,44,52,44,Non applicable,183,Non applicable,1,3,2,1,1,7,1,1,1,1,1,1,1,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,102,2022-05-23 10:37:41.400
2022-05-12 11:47:27.367,2022-05-12 11:47:28.117,2022-05-12 13:01:10.283,100,102,103,11044,4322,73,11044,4322,73,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,1,0,0,0,0,1,2,3,0,0,0,3,21,8,0,0,2,50,57,53,Non applicable,Non applicable,Non applicable,1,1,2,1,0,10,1,1,1,1,1,1,1,0,1,1,1,3,0,1,0,2,1,0,2,0,0,0,0,102,2022-05-12 13:08:10.143
2022-05-12 13:33:53.850,2022-05-12 13:33:55.050,2022-05-18 15:12:07.767,100,102,103,98,4960,73,98,4960,73,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,145,0,0,145,0,1,2,3,0,5,0,4,21,8,0,0,2,49,46,53,Non applicable,Non applicable,Non applicable,2,2,2,1,0,6,1,1,1,1,0,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,102,2022-05-18 15:23:18.650
2022-05-12 17:02:55.870,2022-05-12 17:02:58.243,2022-05-18 15:38:46.113,100,102,103,768,Robot,10925,768,Non identifiable,10925,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,142,0,0,142,0,1,2,3,0,5,0,5,0,8,0,0,2,43,0,53,Non applicable,Non applicable,Non applicable,2,2,2,1,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,102,2022-05-18 15:59:06.883
2022-05-13 08:22:25.110,2022-05-13 08:22:28.440,2022-06-18 18:08:03.590,100,102,103,8601,4731,10606,8601,4731,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,873,0,0,201,0,1,2,3,0,36,0,5,21,11,3,1,1,58,52,49,Non applicable,Non applicable,Non applicable,3,2,2,1,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,102,2022-06-18 18:27:11.120
2022-05-13 08:54:09.457,2022-05-13 08:54:10.253,2022-05-19 15:20:54.460,100,102,103,9855,4960,10606,9855,4960,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,150,0,0,150,0,1,2,3,0,5,0,5,21,11,0,0,1,51,46,49,Non applicable,Non applicable,Non applicable,0,2,2,1,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,102,2022-05-19 15:23:26.707
