Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act1,Task arrival date_last_act1
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,100,2022-05-04 16:17:45.860
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,100,2022-05-04 16:21:25.580
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,100,2022-05-04 16:32:42.837
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,100,2022-05-04 16:40:07.200
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,100,2022-05-04 16:45:22.617
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 16:45:40.510
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,100,2022-05-04 16:50:02.123
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,100,2022-05-04 16:55:26.947
0,0,0,0,0,6,1,1,1,1,1,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 17:03:36.813
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 17:03:49.987
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,100,2022-05-04 17:07:18.910
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,100,2022-05-04 17:13:18.140
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,100,2022-05-04 17:14:56.010
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,100,2022-05-04 17:30:49.070
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 17:37:35.100
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,3,0,0,0,2,0,0,2,0,0,0,1,100,2022-05-04 18:06:56.257
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,3,0,0,0,2,1,0,2,0,0,0,0,100,2022-05-04 18:10:12.367
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,100,2022-05-04 18:12:57.270
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,3,0,0,0,2,0,0,0,0,2,0,1,100,2022-05-05 08:22:07.053
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,4,0,0,1,1,0,0,0,0,2,0,0,100,2022-05-05 09:11:54.667
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-05 09:12:51.280
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 09:23:38.890
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,100,2022-05-05 09:29:28.870
1,0,0,0,0,10,1,1,1,1,1,1,1,0,1,1,1,4,0,0,0,2,1,0,2,0,0,0,0,100,2022-05-05 09:34:56.303
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,100,2022-05-05 09:46:53.173
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-05 09:55:27.433
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,100,2022-05-05 09:56:28.233
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,100,2022-05-05 10:02:14.683
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 10:02:40.717
1,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,100,2022-05-05 10:27:07.460
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,100,2022-05-05 10:47:25.150
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-05 10:56:16.320
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 11:10:03.980
